"TOA5","Clear Lake Cyrus Brouse","CR800","47673","CR800.Std.32.05","CPU:Clear Lake- Cyrus Brouse.CR8","22118","CL_CB_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg"
"TS","RN","Volts","","Deg C","feet","deg C"
"","","Min","TMn","Avg","Avg","Avg"
"2025-05-06 00:00:00",108840,12.86,"2025-05-05 23:49:45",12.86,1.163,14.36
"2025-05-06 00:15:00",108841,12.53,"2025-05-06 00:03:35",12.83,1.17,14.32
"2025-05-06 00:30:00",108842,12.86,"2025-05-06 00:25:55",12.8,1.177,14.28
"2025-05-06 00:45:00",108843,12.86,"2025-05-06 00:41:10",12.83,1.182,14.25
"2025-05-06 01:00:00",108844,12.86,"2025-05-06 00:45:25",12.85,1.19,14.21
"2025-05-06 01:15:00",108845,12.85,"2025-05-06 01:14:50",12.85,1.206,14.17
"2025-05-06 01:30:00",108846,12.85,"2025-05-06 01:23:25",12.79,1.225,14.13
"2025-05-06 01:45:00",108847,12.85,"2025-05-06 01:40:40",12.68,1.244,14.09
"2025-05-06 02:00:00",108848,12.85,"2025-05-06 01:46:00",12.58,1.26,14.05
"2025-05-06 02:15:00",108849,12.84,"2025-05-06 02:12:40",12.54,1.28,14.01
"2025-05-06 02:30:00",108850,12.84,"2025-05-06 02:17:00",12.52,1.325,13.97
"2025-05-06 02:45:00",108851,12.83,"2025-05-06 02:44:35",12.5,1.375,13.93
"2025-05-06 03:00:00",108852,12.84,"2025-05-06 02:47:20",12.47,1.415,13.89
"2025-05-06 03:15:00",108853,12.83,"2025-05-06 03:08:40",12.44,1.44,13.86
"2025-05-06 03:30:00",108854,12.83,"2025-05-06 03:16:40",12.42,1.454,13.83
"2025-05-06 03:45:00",108855,12.78,"2025-05-06 03:31:40",12.4,1.465,13.79
"2025-05-06 04:00:00",108856,12.82,"2025-05-06 03:51:20",12.38,1.473,13.75
"2025-05-06 04:15:00",108857,12.48,"2025-05-06 04:03:25",12.36,1.481,13.71
