"TOA5","Clear Lake Cyrus Brouse","CR800","47673","CR800.Std.32.05","CPU:Clear Lake- Cyrus Brouse.CR8","22118","CL_CB_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg"
"TS","RN","Volts","","Deg C","feet","deg C"
"","","Min","TMn","Avg","Avg","Avg"
2025-09-18T00:15:00Z,121801,12.8,2025-09-18T00:05:35Z,12.59,0.807,16.1
2025-09-18T00:30:00Z,121802,12.79,2025-09-18T00:26:50Z,12.53,0.808,16.12
2025-09-18T00:45:00Z,121803,12.79,2025-09-18T00:34:30Z,12.37,0.808,16.13
2025-09-18T01:00:00Z,121804,12.79,2025-09-18T00:53:55Z,12.15,0.808,16.14
2025-09-18T01:15:00Z,121805,12.78,2025-09-18T01:11:15Z,11.92,0.808,16.15
2025-09-18T01:30:00Z,121806,12.78,2025-09-18T01:16:25Z,11.68,0.808,16.15
2025-09-18T01:45:00Z,121807,12.77,2025-09-18T01:34:25Z,11.42,0.809,16.16
2025-09-18T02:00:00Z,121808,12.76,2025-09-18T01:49:15Z,11.17,0.809,16.16
2025-09-18T02:15:00Z,121809,12.76,2025-09-18T02:08:35Z,10.95,0.81,16.17
2025-09-18T02:30:00Z,121810,12.75,2025-09-18T02:16:45Z,10.77,0.812,16.17
2025-09-18T02:45:00Z,121811,12.75,2025-09-18T02:43:10Z,10.59,0.813,16.17
2025-09-18T03:00:00Z,121812,12.74,2025-09-18T02:50:05Z,10.44,0.814,16.17
2025-09-18T03:15:00Z,121813,12.74,2025-09-18T03:00:05Z,10.31,0.815,16.17
2025-09-18T03:30:00Z,121814,12.73,2025-09-18T03:24:45Z,10.19,0.815,16.17
2025-09-18T03:45:00Z,121815,12.73,2025-09-18T03:30:05Z,10.04,0.816,16.17
2025-09-18T04:00:00Z,121816,12.72,2025-09-18T03:58:40Z,9.91,0.815,16.17
2025-09-18T04:15:00Z,121817,12.72,2025-09-18T04:06:50Z,9.8,0.814,16.16
