"TOA5","Clear Lake Harry Tetters","CR800","47843","CR800.Std.32.05","CPU:Clear Lake- Harry Teeters.CR8","11961","CL_HT_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg"
"TS","RN","Volts","","Deg C","feet","deg C"
"","","Min","TMn","Avg","Avg","Avg"
2025-11-25T00:15:00Z,121905,12.74,2025-11-25T00:09:20Z,5.19,0.136,4.99
2025-11-25T00:30:00Z,121906,12.75,2025-11-25T00:29:40Z,5.15,0.136,5.009
2025-11-25T00:45:00Z,121907,12.52,2025-11-25T00:37:15Z,5.168,0.136,5.039
2025-11-25T01:00:00Z,121908,12.74,2025-11-25T00:57:10Z,5.204,0.136,5.063
2025-11-25T01:15:00Z,121909,12.71,2025-11-25T01:13:25Z,5.254,0.136,5.084
2025-11-25T01:30:00Z,121910,12.71,2025-11-25T01:29:45Z,5.321,0.136,5.108
2025-11-25T01:45:00Z,121911,12.75,2025-11-25T01:33:40Z,5.386,0.136,5.126
2025-11-25T02:00:00Z,121912,12.71,2025-11-25T01:59:10Z,5.437,0.136,5.137
2025-11-25T02:15:00Z,121913,12.7,2025-11-25T02:02:05Z,5.477,0.136,5.146
2025-11-25T02:30:00Z,121914,12.73,2025-11-25T02:24:00Z,5.485,0.136,5.153
2025-11-25T02:45:00Z,121915,12.69,2025-11-25T02:34:40Z,5.468,0.136,5.15
2025-11-25T03:00:00Z,121916,12.72,2025-11-25T02:52:10Z,5.457,0.136,5.157
2025-11-25T03:15:00Z,121917,12.71,2025-11-25T03:10:25Z,5.479,0.136,5.177
2025-11-25T03:30:00Z,121918,12.67,2025-11-25T03:29:40Z,5.54,0.136,5.206
2025-11-25T03:45:00Z,121919,12.71,2025-11-25T03:43:15Z,5.619,0.136,5.237
2025-11-25T04:00:00Z,121920,12.7,2025-11-25T03:53:00Z,5.699,0.136,5.27
2025-11-25T04:15:00Z,121921,12.7,2025-11-25T04:02:10Z,5.811,0.136,5.303
2025-11-25T04:30:00Z,121922,12.67,2025-11-25T04:29:40Z,5.923,0.137,5.329
