"TOA5","Clear Lake Outflow","CR800","47844","CR800.Std.32.05","CPU:Clear_Outflow_Rain_Gauge.CR8","727","Clear_Outflow_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg","Rain_in_Tot"
"TS","RN","Volts","","Deg C","feet","deg C","inch"
"","","Min","TMn","Avg","Avg","Avg","Tot"
2025-09-25T00:15:00Z,122830,9.93,2025-09-25T00:05:30Z,17.06,0.257,21.42,0
2025-09-25T00:30:00Z,122831,9.93,2025-09-25T00:16:05Z,16.95,0.257,21.37,0
2025-09-25T00:45:00Z,122832,9.93,2025-09-25T00:35:55Z,16.88,0.257,21.32,0
2025-09-25T01:00:00Z,122833,9.85,2025-09-25T00:54:10Z,16.86,0.257,21.26,0
2025-09-25T01:15:00Z,122834,9.93,2025-09-25T01:00:20Z,16.91,0.257,21.21,0
2025-09-25T01:30:00Z,122835,9.86,2025-09-25T01:26:25Z,17.01,0.257,21.17,0
2025-09-25T01:45:00Z,122836,9.92,2025-09-25T01:32:45Z,17.1,0.256,21.12,0
2025-09-25T02:00:00Z,122837,9.92,2025-09-25T01:58:10Z,17.18,0.256,21.08,0
2025-09-25T02:15:00Z,122838,9.92,2025-09-25T02:00:20Z,17.24,0.256,21.03,0
2025-09-25T02:30:00Z,122839,9.89,2025-09-25T02:29:05Z,17.28,0.256,21,0
2025-09-25T02:45:00Z,122840,9.91,2025-09-25T02:44:30Z,17.31,0.256,20.96,0
2025-09-25T03:00:00Z,122841,9.91,2025-09-25T02:45:45Z,17.29,0.256,20.92,0
2025-09-25T03:15:00Z,122842,9.91,2025-09-25T03:03:00Z,17.29,0.256,20.9,0
2025-09-25T03:30:00Z,122843,9.9,2025-09-25T03:28:50Z,17.31,0.256,20.86,0
2025-09-25T03:45:00Z,122844,9.91,2025-09-25T03:30:05Z,17.37,0.256,20.83,0
2025-09-25T04:00:00Z,122845,9.91,2025-09-25T03:45:05Z,17.43,0.256,20.81,0
2025-09-25T04:15:00Z,122846,9.9,2025-09-25T04:11:15Z,17.48,0.256,20.78,0
2025-09-25T04:30:00Z,122847,9.9,2025-09-25T04:15:05Z,17.52,0.256,20.74,0
2025-09-25T04:45:00Z,122848,9.9,2025-09-25T04:30:05Z,17.57,0.256,20.7,0
2025-09-25T05:00:00Z,122849,9.9,2025-09-25T04:54:15Z,17.61,0.256,20.66,0
2025-09-25T05:15:00Z,122850,9.9,2025-09-25T05:00:05Z,17.62,0.256,20.64,0
2025-09-25T05:30:00Z,122851,9.89,2025-09-25T05:20:00Z,17.65,0.255,20.62,0
2025-09-25T05:45:00Z,122852,9.89,2025-09-25T05:30:30Z,17.66,0.255,20.59,0
2025-09-25T06:00:00Z,122853,9.9,2025-09-25T05:48:10Z,17.66,0.255,20.56,0
2025-09-25T06:15:00Z,122854,9.88,2025-09-25T06:01:35Z,17.59,0.255,20.53,0.01
2025-09-25T06:30:00Z,122855,9.88,2025-09-25T06:15:25Z,17.47,0.255,20.5,0
2025-09-25T06:45:00Z,122856,9.88,2025-09-25T06:35:55Z,17.38,0.256,20.48,0
2025-09-25T07:00:00Z,122857,9.88,2025-09-25T06:50:25Z,17.35,0.255,20.45,0
2025-09-25T07:15:00Z,122858,9.88,2025-09-25T07:12:15Z,17.33,0.256,20.43,0
2025-09-25T07:30:00Z,122859,9.88,2025-09-25T07:19:50Z,17.26,0.256,20.4,0
2025-09-25T07:45:00Z,122860,9.88,2025-09-25T07:31:20Z,17.14,0.255,20.37,0
2025-09-25T08:00:00Z,122861,9.88,2025-09-25T07:49:50Z,17.14,0.255,20.33,0
2025-09-25T08:15:00Z,122862,9.88,2025-09-25T08:02:00Z,17.19,0.254,20.3,0
2025-09-25T08:30:00Z,122863,9.87,2025-09-25T08:21:10Z,17.24,0.254,20.28,0
2025-09-25T08:45:00Z,122864,9.88,2025-09-25T08:30:10Z,17.32,0.255,20.24,0
2025-09-25T09:00:00Z,122865,9.88,2025-09-25T08:48:00Z,17.44,0.255,20.23,0
2025-09-25T09:15:00Z,122866,9.9,2025-09-25T09:03:50Z,17.57,0.254,20.21,0
2025-09-25T09:30:00Z,122867,9.88,2025-09-25T09:23:05Z,17.69,0.254,20.2,0
2025-09-25T09:45:00Z,122868,9.85,2025-09-25T09:30:15Z,17.81,0.254,20.18,0
2025-09-25T10:00:00Z,122869,9.92,2025-09-25T09:59:30Z,17.93,0.255,20.17,0
2025-09-25T10:15:00Z,122870,9.83,2025-09-25T10:06:45Z,18.03,0.255,20.18,0
2025-09-25T10:30:00Z,122871,9.91,2025-09-25T10:15:25Z,18.11,0.255,20.17,0
2025-09-25T10:45:00Z,122872,9.93,2025-09-25T10:32:35Z,18.19,0.255,20.17,0
2025-09-25T11:00:00Z,122873,9.83,2025-09-25T10:58:40Z,18.26,0.254,20.19,0
2025-09-25T11:15:00Z,122874,9.83,2025-09-25T11:03:45Z,18.42,0.254,20.2,0
2025-09-25T11:30:00Z,122875,9.91,2025-09-25T11:29:55Z,18.56,0.255,20.25,0
2025-09-25T11:45:00Z,122876,9.86,2025-09-25T11:31:45Z,18.73,0.254,20.28,0
2025-09-25T12:00:00Z,122877,9.84,2025-09-25T11:52:10Z,18.99,0.255,20.33,0
2025-09-25T12:15:00Z,122878,9.87,2025-09-25T12:02:10Z,19.36,0.254,20.39,0
2025-09-25T12:30:00Z,122879,10.15,2025-09-25T12:28:40Z,19.92,0.255,20.51,0
2025-09-25T12:45:00Z,122880,10.1,2025-09-25T12:32:05Z,20.31,0.254,20.63,0
2025-09-25T13:00:00Z,122881,10.2,2025-09-25T12:59:40Z,20.72,0.254,20.8,0
2025-09-25T13:15:00Z,122882,10.17,2025-09-25T13:12:45Z,21.06,0.254,20.98,0
2025-09-25T13:30:00Z,122883,10.19,2025-09-25T13:15:05Z,21.32,0.252,21.13,0
2025-09-25T13:45:00Z,122884,10.29,2025-09-25T13:39:20Z,21.79,0.252,21.38,0
2025-09-25T14:00:00Z,122885,10.27,2025-09-25T13:52:50Z,22.07,0.252,21.68,0
2025-09-25T14:15:00Z,122886,10.25,2025-09-25T14:11:40Z,22.29,0.252,21.91,0
2025-09-25T14:30:00Z,122887,10.16,2025-09-25T14:29:40Z,22.35,0.253,22.09,0
2025-09-25T14:45:00Z,122888,10.15,2025-09-25T14:31:10Z,22.26,0.252,22.15,0
2025-09-25T15:00:00Z,122889,10.25,2025-09-25T14:45:05Z,22.24,0.253,22.16,0
2025-09-25T15:15:00Z,122890,10.71,2025-09-25T15:13:10Z,22.34,0.254,22.22,0
2025-09-25T15:30:00Z,122891,10.12,2025-09-25T15:29:00Z,22.34,0.253,22.32,0
2025-09-25T15:45:00Z,122892,10.09,2025-09-25T15:39:40Z,22.26,0.253,22.37,0
2025-09-25T16:00:00Z,122893,10.09,2025-09-25T15:47:40Z,22.17,0.253,22.37,0
2025-09-25T16:15:00Z,122894,10.07,2025-09-25T16:12:10Z,22.17,0.255,22.37,0
2025-09-25T16:30:00Z,122895,10.08,2025-09-25T16:17:00Z,22.17,0.256,22.35,0
2025-09-25T16:45:00Z,122896,10.09,2025-09-25T16:37:20Z,22.22,0.254,22.35,0
2025-09-25T17:00:00Z,122897,10.13,2025-09-25T16:45:05Z,22.36,0.255,22.36,0
2025-09-25T17:15:00Z,122898,10.25,2025-09-25T17:00:20Z,22.7,0.255,22.35,0
2025-09-25T17:30:00Z,122899,10.1,2025-09-25T17:26:20Z,22.9,0.255,22.32,0
2025-09-25T17:45:00Z,122900,10.05,2025-09-25T17:40:00Z,22.87,0.253,22.28,0
2025-09-25T18:00:00Z,122901,10.05,2025-09-25T17:55:40Z,22.69,0.252,22.2,0
2025-09-25T18:15:00Z,122902,10.04,2025-09-25T18:14:10Z,22.44,0.252,22.13,0
2025-09-25T18:30:00Z,122903,10.03,2025-09-25T18:26:05Z,22.16,0.252,22.07,0
2025-09-25T18:45:00Z,122904,10.02,2025-09-25T18:37:30Z,21.76,0.252,21.97,0
2025-09-25T19:00:00Z,122905,10,2025-09-25T18:56:10Z,21.28,0.252,21.89,0
2025-09-25T19:15:00Z,122906,9.99,2025-09-25T19:15:00Z,20.79,0.252,21.83,0
2025-09-25T19:30:00Z,122907,9.98,2025-09-25T19:26:00Z,20.32,0.252,21.75,0
