gage_id,parameter,month_day,min,max,mean,median,p10,p25,p75,p90,count
cyrus_brouse,discharge,01-01,0.42,2.88,1.45,1.32,0.42,0.44,2.42,2.66,2
cyrus_brouse,discharge,01-02,0.38,2.16,1.19,0.41,0.38,0.39,1.98,2.09,2
cyrus_brouse,discharge,01-03,0.35,5.96,1.28,0.37,0.35,0.36,0.37,5.4,2
cyrus_brouse,discharge,01-04,0.3,3.29,1.33,0.34,0.31,0.32,2.98,3.12,2
cyrus_brouse,discharge,01-05,0.28,2.69,1.34,1.26,0.3,0.3,2.34,2.52,2
cyrus_brouse,discharge,01-06,0.3,2.19,1.18,1.13,0.3,0.3,2.05,2.15,2
cyrus_brouse,discharge,01-07,0.28,1.95,1.06,1.01,0.29,0.3,1.82,1.9,2
cyrus_brouse,discharge,01-08,0.26,1.73,0.96,0.95,0.26,0.27,1.65,1.69,2
cyrus_brouse,discharge,01-09,0.3,8.17,1.65,1.5,0.33,0.38,1.56,2.61,2
cyrus_brouse,discharge,01-10,1.43,8.05,2.62,1.58,1.44,1.44,3.01,5.7,2
cyrus_brouse,discharge,01-11,0.92,1.66,1.31,1.4,1,1.17,1.42,1.43,2
cyrus_brouse,discharge,01-12,0.82,1.4,1.12,1.12,0.83,0.87,1.39,1.4,2
cyrus_brouse,discharge,01-13,0.56,1.32,1.03,1.05,0.77,0.79,1.27,1.3,2
cyrus_brouse,discharge,01-14,0.61,1.21,0.93,0.94,0.65,0.72,1.14,1.18,2
cyrus_brouse,discharge,01-15,0.66,1.06,0.87,0.88,0.68,0.69,1.05,1.05,2
cyrus_brouse,discharge,01-16,0.65,1.27,0.88,0.85,0.67,0.68,1.03,1.19,2
cyrus_brouse,discharge,01-17,0.61,1.6,1.06,0.96,0.63,0.64,1.54,1.59,2
cyrus_brouse,discharge,01-18,0.57,1.56,1.05,1.04,0.6,0.61,1.49,1.53,2
cyrus_brouse,discharge,01-19,0.45,4.07,1.98,1.07,0.47,0.51,3.56,3.91,2
cyrus_brouse,discharge,01-20,0.37,3.52,1.7,1.53,0.38,0.38,2.95,3.29,2
cyrus_brouse,discharge,01-21,0.32,2.6,1.34,1.26,0.33,0.33,2.32,2.49,2
cyrus_brouse,discharge,01-22,0.31,2.15,1.18,1.14,0.32,0.32,2.03,2.09,2
cyrus_brouse,discharge,01-23,0.31,1.95,1.22,1.51,0.33,0.42,1.84,1.91,2
cyrus_brouse,discharge,01-24,0.93,4.89,1.72,1.63,0.98,1.1,1.69,2.86,2
cyrus_brouse,discharge,01-25,1.64,11.98,3.91,3.04,1.67,1.7,5.17,8.12,2
cyrus_brouse,discharge,01-26,1.63,64.2,20.35,7.44,1.66,1.67,35.25,54.74,2
cyrus_brouse,discharge,01-27,1.49,23.93,8.96,6.39,1.58,1.6,15.58,19.9,2
cyrus_brouse,discharge,01-28,1.47,15.9,6.6,5.57,1.5,1.51,10.24,14.2,2
cyrus_brouse,discharge,01-29,1.51,12.36,4.77,3.59,1.52,1.54,7.44,9.87,2
cyrus_brouse,discharge,01-30,1.35,5.55,2.91,2.63,1.53,1.56,4.08,4.87,2
cyrus_brouse,discharge,01-31,1.21,3.98,2.39,2.22,1.37,1.41,3.27,3.68,2
cyrus_brouse,discharge,02-01,1.21,2.92,1.86,1.76,1.23,1.25,2.42,2.67,2
cyrus_brouse,discharge,02-02,1.16,2.4,1.61,1.5,1.18,1.2,1.98,2.23,2
cyrus_brouse,discharge,02-03,0.92,1.75,1.3,1.28,1.02,1.07,1.52,1.65,2
cyrus_brouse,discharge,02-04,0.99,1.39,1.15,1.14,1.01,1.05,1.24,1.32,2
cyrus_brouse,discharge,02-05,0.94,1.23,1.07,1.05,0.97,0.99,1.13,1.21,2
cyrus_brouse,discharge,02-06,0.83,1.27,1.03,1.04,0.85,0.87,1.16,1.25,2
cyrus_brouse,discharge,02-07,0.76,2.99,1.38,1.05,0.76,0.77,1.36,2.94,2
